prefecture,prefecture_code,score_fund_balance,score_securities_balance,score_government_bond_balance,score_bond_breakdown,score_yield,score_income,score_maturity,score_maturity_structure,score_investment_policy,score_risk_policy,disclosure_score,comparison_level,comparison_notes,R7_data_status,R7_period_type,R7_fund_balance_million_yen,R7_average_fund_balance_million_yen,R7_securities_million_yen,R7_government_bonds_million_yen,R7_investment_yield_pct,R7_fund_investment_income_million_yen,R7_average_maturity_years,R7_source_url,R8_data_status,R8_period_type,R8_fund_balance_million_yen,R8_average_fund_balance_million_yen,R8_securities_million_yen,R8_government_bonds_million_yen,R8_investment_yield_pct,R8_fund_investment_income_million_yen,R8_average_maturity_years,R8_source_url,summary_comment
千葉県,120006,2,2,1,1,2,2,0,0,1,2,13,B,基金残高/平均残高あり、債券・有価証券残高あり、利回りあり、運用収入あり。公表資料ベースで判定。,NUMERIC_OFFICIAL,annual_actual,,1254300,753800,,0.482,6049.462,,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.chiba.lg.jp/suitou/koukinkanri.html,R7=NUMERIC_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度13/20、比較可能性B。 公表数値を用いた比較が一定程度可能。
東京都,130001,2,2,2,2,2,2,1,1,2,2,18,A,基金残高/平均残高あり、債券・有価証券残高あり、利回りあり、運用収入あり、年限・ラダー情報あり。公表資料ベースで判定。,NUMERIC_OFFICIAL,annual_actual,,3792100,,,0.553,20973.5,,https://www.metro.tokyo.lg.jp/information/press/2026/05/2026052909,NUMERIC_OFFICIAL_PLAN,annual_plan,,3480000,1480000,488400.0,,,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,R7=NUMERIC_OFFICIAL、R8=NUMERIC_OFFICIAL_PLAN。公開充実度18/20、比較可能性A。 公表数値を用いた比較が一定程度可能。
神奈川県,140007,1,1,1,1,1,1,1,1,2,2,12,D,年限・ラダー情報あり。公表資料ベースで判定。,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.kanagawa.jp/docs/f8r/cnt/f618/r01-koukin.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.kanagawa.jp/docs/f8r/cnt/f618/r01-koukin.html,R7=SEARCHED_NOT_FOUND、R8=PARTIAL_OFFICIAL。公開充実度12/20、比較可能性D。 主として方針・制度面の比較に限られる。
新潟県,150002,1,1,1,0,1,2,0,0,2,0,8,D,運用収入あり。公表資料ベースで判定。,NUMERIC_OFFICIAL,annual_actual,,,,,,1905.117433,,https://www.pref.niigata.lg.jp/site/suitou/reiwa7nendokoukinunyoujyoukyou.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.niigata.lg.jp/site/suitou/reiwa7nendokoukinunyoujyoukyou.html,R7=NUMERIC_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度8/20、比較可能性D。 主として方針・制度面の比較に限られる。
富山県,160008,1,1,1,1,0,0,1,0,2,2,9,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,year_end_actual,,,,,,,,https://www.pref.toyama.jp/200/r7ikensho.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.toyama.jp/200/r7ikensho.html,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度9/20、比較可能性D。 主として方針・制度面の比較に限られる。
石川県,170003,2,1,0,0,2,2,0,0,0,0,7,D,基金残高/平均残高あり、利回りあり、運用収入あり。公表資料ベースで判定。,NUMERIC_OFFICIAL,annual_actual,,167400,,,0.252,421.66,,https://www.pref.ishikawa.lg.jp/zaisei/data/koukinunyou/h28kikinunyou.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.ishikawa.lg.jp/zaisei/data/koukinunyou/h28kikinunyou.html,R7=NUMERIC_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度7/20、比較可能性D。 主として方針・制度面の比較に限られる。
福井県,180009,2,1,1,1,2,2,0,0,0,1,10,D,基金残高/平均残高あり、利回りあり、運用収入あり。公表資料ベースで判定。,NUMERIC_OFFICIAL,annual_actual,,160224,,,0.3303936988216497,529.37,,https://www.pref.fukui.lg.jp/doc/shinsa/shikin.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.fukui.lg.jp/doc/shinsa/shikin.html,R7=NUMERIC_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度10/20、比較可能性D。 主として方針・制度面の比較に限られる。
山梨県,190004,0,0,0,0,0,0,0,0,0,0,0,E,比較可能な数量情報は限定的。公表資料ベースで判定。,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.yamanashi.jp/sui-kai/koukinunyou20.html,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.yamanashi.jp/sui-kai/koukinunyou20.html,R7=SEARCHED_NOT_FOUND、R8=SEARCHED_NOT_FOUND。公開充実度0/20、比較可能性E。 主として方針・制度面の比較に限られる。
長野県,200000,1,0,1,1,1,0,1,0,1,2,8,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,year_end_actual,,,,,,,,https://www.pref.nagano.lg.jp/kansa/kensei/kansa/kekka/kekka.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.nagano.lg.jp/kaikei/kensei/soshiki/soshiki/kencho/kaikei/hoshin.html,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度8/20、比較可能性D。 主として方針・制度面の比較に限られる。
岐阜県,210005,1,0,1,1,0,0,1,0,1,2,7,D,比較可能な数量情報は限定的。公表資料ベースで判定。,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.gifu.lg.jp/soshiki/11113/index.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.gifu.lg.jp/page/23266.html,R7=SEARCHED_NOT_FOUND、R8=PARTIAL_OFFICIAL。公開充実度7/20、比較可能性D。 主として方針・制度面の比較に限られる。
静岡県,220001,2,2,1,1,2,2,1,0,2,1,14,B,基金残高/平均残高あり、債券・有価証券残高あり、利回りあり、運用収入あり。公表資料ベースで判定。,NUMERIC_OFFICIAL,annual_actual,,883500,544700,,0.5353706847764572,4730,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.shizuoka.jp/kensei/zaiseisuito/suito/1030351.html,R7=NUMERIC_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度14/20、比較可能性B。 公表数値を用いた比較が一定程度可能。
愛知県,230006,1,1,0,0,0,0,0,0,2,0,4,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.aichi.jp/soshiki/shikin-kikaku/zaimumanagement2025.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.aichi.jp/soshiki/shikin-kikaku/zaimumanagement2025.html,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度4/20、比較可能性D。 主として方針・制度面の比較に限られる。
三重県,240001,1,1,0,0,0,2,0,0,2,2,8,D,運用収入あり。公表資料ベースで判定。,NUMERIC_OFFICIAL_FORECAST,annual_plan,,,,,,700,,https://www.pref.mie.lg.jp/common/content/001256985.pdf,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.mie.lg.jp/common/content/001256985.pdf,R7=NUMERIC_OFFICIAL_FORECAST、R8=PARTIAL_OFFICIAL。公開充実度8/20、比較可能性D。 主として方針・制度面の比較に限られる。
滋賀県,250007,1,1,1,0,1,0,0,0,1,2,7,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.shiga.lg.jp/kensei/gaiyou/soshiki/kaikeikanrikyoku/kaikeika/,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.shiga.lg.jp/ka00/9122.html,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度7/20、比較可能性D。 主として方針・制度面の比較に限られる。
京都府,260002,1,1,0,0,1,0,0,0,0,0,3,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,year_end_actual,,,,,,,,https://www.pref.kyoto.jp/kessan/07kessan.html,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.kyoto.jp/kessan/07kessan.html,R7=PARTIAL_OFFICIAL、R8=SEARCHED_NOT_FOUND。公開充実度3/20、比較可能性D。 主として方針・制度面の比較に限られる。
大阪府,270008,2,2,0,0,2,2,1,1,2,2,14,A,基金残高/平均残高あり、債券・有価証券残高あり、利回りあり、運用収入あり、年限・ラダー情報あり。公表資料ベースで判定。,NUMERIC_OFFICIAL_FORECAST,annual_plan,,892300,290600,,0.442,,,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,PARTIAL_OFFICIAL,annual_plan,,,,,,,,https://www.pref.osaka.lg.jp/o050010/zaisei/oosakafuzaimumanezim/zaimane25.html,R7=NUMERIC_OFFICIAL_FORECAST、R8=PARTIAL_OFFICIAL。公開充実度14/20、比較可能性A。 公表数値を用いた比較が一定程度可能。
兵庫県,280003,2,2,0,0,2,0,2,1,2,2,13,B,基金残高/平均残高あり、債券・有価証券残高あり、利回りあり、年限・ラダー情報あり。公表資料ベースで判定。,NUMERIC_OFFICIAL,annual_actual,,840300,229400,,0.636,,6.21,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,NUMERIC_OFFICIAL_PLAN,annual_plan,,,,,,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,R7=NUMERIC_OFFICIAL、R8=NUMERIC_OFFICIAL_PLAN。公開充実度13/20、比較可能性B。 公表数値を用いた比較が一定程度可能。
奈良県,290009,0,0,0,0,0,0,0,0,0,0,0,E,比較可能な数量情報は限定的。公表資料ベースで判定。,SEARCHED_NOT_FOUND,unknown,,,,,,,,,SEARCHED_NOT_FOUND,unknown,,,,,,,,,R7=SEARCHED_NOT_FOUND、R8=SEARCHED_NOT_FOUND。公開充実度0/20、比較可能性E。 主として方針・制度面の比較に限られる。
和歌山県,300004,1,1,1,1,1,0,0,0,2,2,9,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.wakayama.lg.jp/gijiroku/d00221553.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.wakayama.lg.jp/prefg/010400/d00156229.html,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度9/20、比較可能性D。 主として方針・制度面の比較に限られる。
鳥取県,310000,2,2,1,1,2,2,0,0,1,2,13,B,基金残高/平均残高あり、債券・有価証券残高あり、利回りあり、運用収入あり。公表資料ベースで判定。,NUMERIC_OFFICIAL,annual_actual,80400,75500,12100,,,392.53999999999996,,https://www.pref.tottori.lg.jp/258342.htm,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.tottori.lg.jp/258339.htm,R7=NUMERIC_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度13/20、比較可能性B。 公表数値を用いた比較が一定程度可能。
島根県,320005,1,1,1,0,1,0,0,0,0,0,4,D,比較可能な数量情報は限定的。公表資料ベースで判定。,SEARCHED_NOT_FOUND,unknown,,,,,,,,,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.shimane.lg.jp/admin/syokuin/bosyu/bosyu_somu/kaikei_saiyoushiken_issei.data/jukenannai_0801.pdf,R7=SEARCHED_NOT_FOUND、R8=PARTIAL_OFFICIAL。公開充実度4/20、比較可能性D。 主として方針・制度面の比較に限られる。
岡山県,330001,2,1,1,0,1,0,1,1,2,2,11,D,基金残高/平均残高あり、年限・ラダー情報あり。公表資料ベースで判定。,NUMERIC_OFFICIAL_FORECAST,year_end_actual,109323.195,,,,,,,https://www.pref.okayama.jp/uploaded/life/1052449_10196574_misc.pdf,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.okayama.jp/uploaded/life/771490_9281663_misc.pdf,R7=NUMERIC_OFFICIAL_FORECAST、R8=PARTIAL_OFFICIAL。公開充実度11/20、比較可能性D。 主として方針・制度面の比較に限られる。
広島県,340006,1,1,1,0,1,0,0,0,0,0,4,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,year_end_actual,,,,,,,,https://www.pref.hiroshima.lg.jp/site/zaiseiyosann/zaiseijoukyou080529.html,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.hiroshima.lg.jp/site/zaiseiyosann/zaiseijoukyou080529.html,R7=PARTIAL_OFFICIAL、R8=SEARCHED_NOT_FOUND。公開充実度4/20、比較可能性D。 主として方針・制度面の比較に限られる。
山口県,350001,0,0,0,0,0,0,0,0,0,0,0,E,比較可能な数量情報は限定的。公表資料ベースで判定。,SEARCHED_NOT_FOUND,unknown,,,,,,,,,SEARCHED_NOT_FOUND,unknown,,,,,,,,,R7=SEARCHED_NOT_FOUND、R8=SEARCHED_NOT_FOUND。公開充実度0/20、比較可能性E。 主として方針・制度面の比較に限られる。
徳島県,360007,1,1,0,0,1,0,0,0,2,2,7,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.tokushima.lg.jp/file/attachment/993807.pdf,PARTIAL_OFFICIAL,annual_plan,,,,,,,,https://www.pref.tokushima.lg.jp/file/attachment/993807.pdf,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度7/20、比較可能性D。 主として方針・制度面の比較に限られる。
香川県,370002,1,0,0,0,1,0,0,0,0,0,2,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,year_end_actual,,,,,,,,https://www.pref.kagawa.lg.jp/kansai/kessan/kessan.html,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.kagawa.lg.jp/suito/index.html,R7=PARTIAL_OFFICIAL、R8=SEARCHED_NOT_FOUND。公開充実度2/20、比較可能性D。 主として方針・制度面の比較に限られる。
愛媛県,380008,0,0,0,0,0,0,0,0,0,0,0,E,R7/R8の基金全体の国債残高・債券残高・運用利回り・運用収入・年限を全国比較できる公表資料は確認できず。公表資料ベースの比較可能性はE。,SEARCHED_NOT_FOUND,policy_only,,,,,,,,https://www.pref.ehime.jp/soshiki/113/index.html,SEARCHED_NOT_FOUND,policy_only,,,,,,,,https://www.pref.ehime.jp/soshiki/113/index.html,R7=SEARCHED_NOT_FOUND、R8=SEARCHED_NOT_FOUND。公開充実度0/20、比較可能性E。 会計課が基金・歳計現金を所管することは確認できるが、R7/R8の詳細な運用実績は公表資料で確認できない。
高知県,390003,1,1,0,0,0,0,1,1,2,2,8,D,年限・ラダー情報あり。公表資料ベースで判定。,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.kochi.lg.jp/doc/2025072300184/,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.kochi.lg.jp/doc/2025072300184/,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度8/20、比較可能性D。 主として方針・制度面の比較に限られる。
福岡県,400009,1,1,0,0,0,0,0,0,0,0,2,C,比較可能な数量情報は限定的。公表資料ベースで判定。,NUMERIC_OFFICIAL_APPROX,latest_actual,,,,,,,,https://www.pref.fukuoka.lg.jp/site/chiji-kisha/teirei-kisyakaiken20260113.html,PARTIAL_OFFICIAL,year_end_actual,,,,,,,,https://www.pref.fukuoka.lg.jp/contents/kikintumitatejyoukyou.html,R7=NUMERIC_OFFICIAL_APPROX、R8=PARTIAL_OFFICIAL。公開充実度2/20、比較可能性C。 公表数値を用いた比較が一定程度可能。
佐賀県,410004,0,0,0,0,0,0,0,0,0,0,0,E,比較可能な数量情報は限定的。公表資料ベースで判定。,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.saga.lg.jp/kiji003120845/index.html,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.saga.lg.jp/kiji003120845/index.html,R7=SEARCHED_NOT_FOUND、R8=SEARCHED_NOT_FOUND。公開充実度0/20、比較可能性E。 主として方針・制度面の比較に限られる。
長崎県,420000,1,1,1,1,1,0,0,0,1,2,8,D,比較可能な数量情報は限定的。公表資料ベースで判定。,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://shisyutsukoukai.pref.nagasaki.jp/public/,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://shisyutsukoukai.pref.nagasaki.jp/public/,R7=SEARCHED_NOT_FOUND、R8=PARTIAL_OFFICIAL。公開充実度8/20、比較可能性D。 主として方針・制度面の比較に限られる。
熊本県,430005,1,1,1,1,0,0,1,1,2,2,10,D,年限・ラダー情報あり。公表資料ベースで判定。,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.kumamoto.jp/soshiki/118/68486.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.kumamoto.jp/soshiki/118/68486.html,R7=SEARCHED_NOT_FOUND、R8=PARTIAL_OFFICIAL。公開充実度10/20、比較可能性D。 主として方針・制度面の比較に限られる。
大分県,440001,2,1,1,1,2,2,1,1,2,2,15,D,基金残高/平均残高あり、利回りあり、運用収入あり、年限・ラダー情報あり。公表資料ベースで判定。,NUMERIC_OFFICIAL,annual_actual,,137026.053,,,0.615,842.487,,https://www.pref.oita.jp/uploaded/attachment/2275311.pdf,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.oita.jp/soshiki/11400/koukinkanri.html,R7=NUMERIC_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度15/20、比較可能性D。 主として方針・制度面の比較に限られる。
宮崎県,450006,2,2,1,1,1,2,0,0,1,2,12,C,基金残高/平均残高あり、債券・有価証券残高あり、運用収入あり。公表資料ベースで判定。,NUMERIC_OFFICIAL_FORECAST,latest_actual,,182900,52200,,,650.0,,https://www.pref.miyazaki.lg.jp/documents/104090/104090_20260218171541-1.pdf,PARTIAL_OFFICIAL,policy_only,,,,,,,,,R7=NUMERIC_OFFICIAL_FORECAST、R8=PARTIAL_OFFICIAL。公開充実度12/20、比較可能性C。 公表数値を用いた比較が一定程度可能。
鹿児島県,460001,1,0,0,0,1,0,0,0,0,0,2,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,year_end_actual,,,,,,,,https://www.pref.kagoshima.jp/ab05/kensei/zaisei/kessan/kikin.html,SEARCHED_NOT_FOUND,unknown,,,,,,,,,R7=PARTIAL_OFFICIAL、R8=SEARCHED_NOT_FOUND。公開充実度2/20、比較可能性D。 主として方針・制度面の比較に限られる。
沖縄県,470007,2,1,1,0,0,2,0,0,0,0,6,D,基金残高/平均残高あり、運用収入あり。公表資料ベースで判定。,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/010/064/r6.3tyuukimitoosi.pdf,PARTIAL_OFFICIAL,annual_plan,11000,,,,,,,https://www.pref.okinawa.jp/shigoto/keizai/1009879/1009880/1010064.html,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度6/20、比較可能性D。 主として方針・制度面の比較に限られる。
