prefecture,prefecture_code,fiscal_year,as_of_date,period_type,scope,data_status,fund_balance_million_yen,average_fund_balance_million_yen,cash_deposit_million_yen,time_deposit_million_yen,negotiable_deposit_million_yen,securities_million_yen,government_bonds_million_yen,local_bonds_million_yen,government_guaranteed_bonds_million_yen,fiscal_investment_agency_bonds_million_yen,other_bonds_million_yen,securities_ratio_pct,government_bond_ratio_pct,cash_deposit_ratio_pct,investment_income_million_yen,fund_investment_income_million_yen,investment_yield_pct,bond_yield_pct,deposit_yield_pct,average_maturity_years,duration_years,lump_sum_management,maturity_ladder,investment_committee,risk_policy_public,R7_policy_change,R8_policy_change,source_document,source_page,source_table,source_url,publication_date,source_type,calculation_basis,comparison_level,comparison_notes,notes
山形県,60003,2025,,year_end_actual,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,財政状況の公表のページ（令和8年6月公表）,HTML,,https://www.pref.yamagata.jp/020004/kensei/zaisei/kessan/zaiseijyoukyoukouhyou.html,2026-08-19,official_financial_report,,D,基金状況の公表は確認できるが、基金全体の運用商品別残高・利回りを比較できる専用実績表は本調査では確認できず。,「見つからない」を「存在しない」とは扱わない。
山形県,60003,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,山形県 公金・基金管理関係公表資料,HTML,,https://www.pref.yamagata.jp/020004/kensei/zaisei/kessan/zaiseijyoukyoukouhyou.html,,official_policy,,D,年間基金計画・長期見通し・運用商品選定等の管理枠組みは確認、R8数値は未確認。,「見つからない」を「存在しない」とは扱わない。
福島県,70009,2025,2026-03-31,annual_actual,prefecture_funds,NUMERIC_OFFICIAL,,560678.049315,420042.980822,,,140635.068493,,,,,,25.083034490973706,,74.9169655090263,,1629.896989,0.2907010522333275,0.386,0.259,,,1.0,,,,,,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,2026-08-17,official_actual,基金平均残高=現金・預金平均残高+債券平均残高。全体利回り=運用収入合計/平均残高合計×100。,B,基金の預金・債券平均残高、各利回り、運用収入まで比較可能。年限情報は当該実績表では未確認。,基金現金は一括運用の定期預金、債券は別管理として掲載。
福島県,70009,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,,official_current_page,,D,R7年間実績は詳細だが、R8年度途中の数値実績は本調査では確認できず。,「見つからない」を「存在しない」とは扱わない。
茨城県,80004,2025,,annual_plan,prefecture_funds,NUMERIC_OFFICIAL_PLAN,,261700.0,,,,,,,,,,,,,1402.0,,0.536,,,,,,,,,金利上昇局面を踏まえ、債券運用割合を高め運用収入の最大化を図る方針。,,令和8年度資金管理方針,,,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,2026,official_forecast,,C,R7欄は見込み値。平均残高・利回り・収入はあるが債券残高の実績値は未確認。,R7は確定実績ではなく見込み。ランキングには使用しない。
茨城県,80004,2026,,annual_plan,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,金利上昇を踏まえ債券運用割合を引き上げ、基金の一括運用等で収益性向上。,令和8年度資金管理方針,,,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,,official_plan,,D,R8方針は明確だが本調査で年度途中実績数値は未確認。,「見つからない」を「存在しない」とは扱わない。
栃木県,90000,2025,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,栃木県 公金運用,HTML,,https://www.pref.tochigi.lg.jp/i02/koukinunyou.html,,official_index,,D,公式「公金運用」ページは調査時点でR6実績まで。R7実績の掲載を確認できず。,「見つからない」を「存在しない」とは扱わない。
栃木県,90000,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,栃木県公金管理・運用方針,HTML,,https://www.pref.tochigi.lg.jp/i02/koukinunyou.html,,official_policy,,D,2025年7月改訂の運用方針は確認、R8数値は未確認。,「見つからない」を「存在しない」とは扱わない。
群馬県,100005,2025,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,群馬県 公金運用の実績,HTML,,https://www.pref.gunma.jp/page/17939.html,2025-10-15,official_index,,D,"調査時点の掲載はR6実績（基金：預金146,861百万円、債券106,893百万円等）まで。R7実績は未掲載。",公式実績ページの最新掲載は令和6年度。R7実績は本調査時点で確認できず。公金管理Q&Aでは基金を預金・債券で運用すると明記。
群馬県,100005,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,基金現金は運用可能期間、金利情勢、基金の性質を考慮し預金・債券で運用。現在の債券は地方債・政府保証債・JFM債・財投機関債。,公金の管理・運用 Q&A,HTML,,https://www.pref.gunma.jp/page/17941.html,2026-04-22,official_policy,,D,現行商品範囲・運用プロセスは詳細に公表。R8数値は未確認。,「見つからない」を「存在しない」とは扱わない。
埼玉県,110001,2025,2026-03-31,annual_actual,prefecture_funds,NUMERIC_OFFICIAL,,1360100.0,476000.0,,,884100.0,,,,,,65.0,,35.0,,8280.705,0.609,,,,,1.0,,,,,,令和7年度第4四半期・公金の運用状況について,,,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,2026,official_actual,,B,基金平均残高、預金・債券構成、運用収入、利回りを直接比較可能。年限内訳は当該表では未確認。,「見つからない」を「存在しない」とは扱わない。
埼玉県,110001,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,埼玉県 公金運用状況,HTML,,https://www.pref.saitama.lg.jp/a1201/koukinkanri.html,,official_policy,,D,R7詳細実績あり。R8年度途中の基金全体数値は本調査では未確認。,「見つからない」を「存在しない」とは扱わない。
千葉県,120006,2025,2026-03-31,annual_actual,prefecture_funds,NUMERIC_OFFICIAL,,1254300.0,500500.0,,,753800.0,,,,,,60.1,,39.9,,6049.462,0.482,,,,,,,,1.0,,,令和7年度公金運用状況,HTML,,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,2026,official_actual,,B,基金平均残高、預金・債券構成、運用収入、利回りを比較可能。債券は国債・地方債等と記載。,国債単独残高は当該公表では分離されていない。
千葉県,120006,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,千葉県 公金管理,HTML,,https://www.pref.chiba.lg.jp/suitou/koukinkanri.html,,official_policy,,D,対象商品・運用方針は公表。R8年度途中の基金全体数値は未確認。,「見つからない」を「存在しない」とは扱わない。
東京都,130001,2025,2026-03-31,annual_actual,prefecture_funds,NUMERIC_OFFICIAL,,3792100.0,,,,,,,,,,,,,,20973.5,0.553,,,,,1.0,,,,,,令和7年度公金管理実績（年間及び第4四半期）,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/05/2026052909,2026-05-29,official_actual,,B,基金平均残高、運用収入、利回りを比較可能。最終実績ページでは本調査用の国債単独残高を確認できず。,「見つからない」を「存在しない」とは扱わない。
東京都,130001,2026,,annual_plan,prefecture_funds,NUMERIC_OFFICIAL_PLAN,,3480000.0,2000000.0,,,1480000.0,488400.0,370000.0,14800.0,488400.0,,43.0,14.034482758620689,57.0,,,,,,,,1.0,1.0,,1.0,,"一括運用・複合ラダー型ポートフォリオを拡充。短期4,000億、中期5,100億、長期5,700億円を想定。",令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,official_plan,"R8基金債券計14,800億円×債券内構成比（国債33%、地方債25%、政府保証債1%、財投機関債等33%）。国債比率は基金平均残高34,800億円を分母にPython計算。",A,計画値だが、基金平均残高、預金・債券構成、年限区分まで公表。実績とは分離して扱う。,R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
神奈川県,140007,2025,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,神奈川県 公金管理運用実績,HTML,,https://www.pref.kanagawa.jp/docs/f8r/cnt/f618/r01-koukin.html,,official_index,,D,調査時点で確認できた詳細実績はR6まで。R7年間実績は検索で確認できず。,"R6は基金平均残高13,061億円、債券7,478億円、利回り0.686%、運用収入89億5,701万円だがStage2数値には転記しない。"
神奈川県,140007,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,神奈川県 公金管理方針・運用実績ページ,HTML,,https://www.pref.kanagawa.jp/docs/f8r/cnt/f618/r01-koukin.html,,official_policy,,D,長期資金を国債・政府保証債・地方債等で運用し満期分散する方針は確認。R8数値は未確認。,「見つからない」を「存在しない」とは扱わない。
新潟県,150002,2025,2026-03-31,annual_actual,prefecture_funds,NUMERIC_OFFICIAL,,,,,,,,,,,,,,,,1905.117433,,,,,,1.0,,,,,,令和7年度公金運用状況,HTML,,https://www.pref.niigata.lg.jp/site/suitou/reiwa7nendokoukinunyoujyoukyou.html,2026,official_actual,,C,基金運用収入は確認できるが、本調査で基金全体平均残高・債券残高・利回りの統一表は抽出できず。,預金及び国債等により一括運用。
新潟県,150002,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,新潟県 公金運用,HTML,,https://www.pref.niigata.lg.jp/site/suitou/reiwa7nendokoukinunyoujyoukyou.html,,official_current_page,,D,R7実績は公表済み。R8年度途中の統一数値は未確認。,「見つからない」を「存在しない」とは扱わない。
富山県,160008,2025,,year_end_actual,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,短期は預金等、長期は国債等で運用。R7に運用基準を改定し財投機関債等を対象に追加、より長い年限も検討。,,令和7年度富山県歳入歳出決算及び基金の運用状況審査意見書／基金運用関係答弁,HTML,,https://www.pref.toyama.jp/200/r7ikensho.html,2026-09-07,official_audit_and_policy,,D,R7決算審査意見書は公開済み。債券対象拡大・年限検討は確認したが、基金全体の統一運用表は本調査では未抽出。,「見つからない」を「存在しない」とは扱わない。
富山県,160008,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,R7に追加した財投機関債等を含め、金利環境を踏まえた長期運用を検討。,富山県 公金運用関係資料,HTML,,https://www.pref.toyama.jp/200/r7ikensho.html,,official_policy,,D,公式サイトをR7/R8、公金運用、基金運用、債券、国債等の語で検索したが、当該年度の比較可能な数値資料を確認できず。,「見つからない」を「存在しない」とは扱わない。
石川県,170003,2025,2026-03-31,annual_actual,prefecture_funds,NUMERIC_OFFICIAL,,167400.0,,,,,,,,,,,,,,421.66,0.252,,,,,,,,,,,基金の運用状況,HTML,,https://www.pref.ishikawa.lg.jp/zaisei/data/koukinunyou/h28kikinunyou.html,2026,official_actual,,C,基金平均運用額、運用収入、平均利回りを比較可能。商品は譲渡性預金・大口定期・債券だが当該集計で債券残高を分離確認できず。,債券残高が無いためB判定は利回り中心の部分比較。厳密な債券比率比較ではC相当。
石川県,170003,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,石川県 公金運用実績ページ,HTML,,https://www.pref.ishikawa.lg.jp/zaisei/data/koukinunyou/h28kikinunyou.html,,official_current_page,,D,R7年間実績は公表。R8年度途中数値は未確認。,「見つからない」を「存在しない」とは扱わない。
福井県,180009,2025,2026-03-31,annual_actual,prefecture_funds,NUMERIC_OFFICIAL,,160224.0,,,,,,,,,,,,,,529.37,0.3303936988216497,,,,,,,,,,,資金運用について,HTML,,https://www.pref.fukui.lg.jp/doc/shinsa/shikin.html,2026,calculated,"529.37百万円÷160,224百万円×100",C,平均基金残高と利息収入は公表。利回りは同じ定義の分母・分子からPython計算。債券残高は当該公表から分離できず。,「見つからない」を「存在しない」とは扱わない。
福井県,180009,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,福井県 資金運用について,HTML,,https://www.pref.fukui.lg.jp/doc/shinsa/shikin.html,,official_current_page,,D,基金条例上、預金・国債・地方債・政府保証証券等で運用可能。R8途中数値は未確認。,「見つからない」を「存在しない」とは扱わない。
山梨県,190004,2025,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,山梨県 公金運用実績について,HTML,,https://www.pref.yamanashi.jp/sui-kai/koukinunyou20.html,2026-05-28,searched_not_found,,E,R7の基金全体について債券残高・国債残高・利回りを比較可能な公式資料を本調査では確認できず。,公式ページは2026-05-28更新だが掲載実績は令和6年度まで。R7/R8についてはSEARCHED_NOT_FOUNDを維持。
山梨県,190004,2026,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,山梨県 公金運用実績について,HTML,,https://www.pref.yamanashi.jp/sui-kai/koukinunyou20.html,2026-05-28,searched_not_found,,E,R8年度途中の比較可能数値を確認できず。,公式ページは2026-05-28更新だが掲載実績は令和6年度まで。R7/R8についてはSEARCHED_NOT_FOUNDを維持。
長野県,200000,2025,,year_end_actual,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,令和7年度長野県歳入歳出決算等 審査意見書,HTML,,https://www.pref.nagano.lg.jp/kansa/kensei/kansa/kekka/kekka.html,2026-09-14,official_audit,,D,R7決算審査意見書は公表済みだが、基金全体の運用商品別残高・利回りの横断集計は本調査では確認できず。,基本方針では長期資金は国債・地方債等で運用し原則満期保有。
長野県,200000,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,長野県公金管理基本方針,HTML,,https://www.pref.nagano.lg.jp/kaikei/kensei/soshiki/soshiki/kencho/kaikei/hoshin.html,,official_policy,,D,国債・地方債等、満期保有、適正運用期間等の方針を確認。R8数値は未確認。,「見つからない」を「存在しない」とは扱わない。
岐阜県,210005,2025,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,岐阜県 出納管理課 公金運用情報,HTML,,https://www.pref.gifu.lg.jp/soshiki/11113/index.html,,official_index,,D,運用実績ページへの導線はあるが、本調査でR7年間実績の数値を確認できず。,「見つからない」を「存在しない」とは扱わない。
岐阜県,210005,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,公金の運用方針,HTML,,https://www.pref.gifu.lg.jp/page/23266.html,,official_policy,,D,国債・政府保証債・地方債等、満期保有、分散運用、基金所管課との期間調整を明記。R8数値未確認。,「見つからない」を「存在しない」とは扱わない。
静岡県,220001,2025,2026-03-31,annual_actual,prefecture_funds,NUMERIC_OFFICIAL,,883500.0,338800.0,,,544700.0,,,,,,61.652518392756086,,38.34748160724392,,4730.0,0.5353706847764572,0.455,0.664,,,1.0,,,,,,令和7年度資金運用実績,,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,2026,official_actual,"基金全体利回り=4,730百万円÷883,500百万円×100。構成比も同じ平均残高ベース。",B,基金の預金・債券平均残高、各利回り、運用収入を比較可能。債券銘柄・年限内訳は当該表では未確認。,「見つからない」を「存在しない」とは扱わない。
静岡県,220001,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,静岡県 資金運用,HTML,,https://www.pref.shizuoka.jp/kensei/zaiseisuito/suito/1030351.html,,official_current_page,,D,基金一括運用、競争入札、国債・地方債等の方針は確認。R8途中数値は未確認。,「見つからない」を「存在しない」とは扱わない。
愛知県,230006,2025,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,2025年度愛知県財務マネジメント懇談会 議事概要,HTML,,https://www.pref.aichi.jp/soshiki/shikin-kikaku/zaimumanagement2025.html,2025-09-30,official_committee,,D,「一括運用基金における債券運用」が正式議題。会議録は非公開で数値比較はできず。,「見つからない」を「存在しない」とは扱わない。
愛知県,230006,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,愛知県 資金企画・財務マネジメント,HTML,,https://www.pref.aichi.jp/soshiki/shikin-kikaku/zaimumanagement2025.html,,official_policy,,D,債券運用のガバナンスは確認できるがR8基金ポートフォリオ数値は未確認。,「見つからない」を「存在しない」とは扱わない。
三重県,240001,2025,,annual_plan,prefecture_funds,NUMERIC_OFFICIAL_FORECAST,,,,,,,,,,,,,,,,700.0,,,,,,,,,1.0,従来の預貯金・長期債券に加え、新規発行の国庫短期証券を導入し債券運用割合を拡大。,,令和8年2月27日 三重県議会定例会会議録,,,https://www.pref.mie.lg.jp/common/content/001256985.pdf,2026-02-27,official_forecast_approx,,C,R7基金運用収益は「約7億円を超える見込み」。確定実績・平均残高・債券残高は未確認。,700百万円は「約7億円超」の比較用近似下限。確定値としては扱わない。
三重県,240001,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,国庫短期証券を含むポートフォリオ管理、単年度・中長期資金計画、一括基金の中長期計画を運用。,令和8年2月27日 三重県議会定例会会議録,,,https://www.pref.mie.lg.jp/common/content/001256985.pdf,2026-02-27,official_policy,,D,管理手法は確認できるがR8実績数値は未確認。,「見つからない」を「存在しない」とは扱わない。
滋賀県,250007,2025,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,滋賀県 会計課（資金管理・出納係）,HTML,,https://www.pref.shiga.lg.jp/kensei/gaiyou/soshiki/kaikeikanrikyoku/kaikeika/,,official_policy,,D,会計課が基金等資金の管理・運用を所管することを確認。R7の債券残高・国債残高・利回り等の比較可能な実績は未確認。,「見つからない」を「存在しない」とは扱わない。
滋賀県,250007,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,滋賀県 会計管理局 公金管理関係資料,HTML,,https://www.pref.shiga.lg.jp/ka00/9122.html,,official_index,,D,R8基金ポートフォリオの比較可能数値は未確認。,「見つからない」を「存在しない」とは扱わない。
京都府,260002,2025,2026-03-31,year_end_actual,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,令和7年度京都府歳入歳出決算・基金の概要,HTML,,https://www.pref.kyoto.jp/kessan/07kessan.html,2026-07-24,official_settlement,,D,R7基金残高資料は公表済みだが、基金全体の預金・債券別運用実績・利回りの専用比較表は本調査で未確認。,「見つからない」を「存在しない」とは扱わない。
京都府,260002,2026,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,京都府 決算・基金資料,HTML,,https://www.pref.kyoto.jp/kessan/07kessan.html,,official_index,,E,R8年度途中の基金運用ポートフォリオ数値を確認できず。,「見つからない」を「存在しない」とは扱わない。
大阪府,270008,2025,2026-02-05,annual_plan,prefecture_public_money,NUMERIC_OFFICIAL_FORECAST,,892300.0,,,,290600.0,,,,,,,,,1662.489,,0.442,0.739,,,,,1.0,1.0,1.0,,,第25回大阪府財務マネジメント委員会 資料7「資金運用の実績について」,,,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,2026-02-05,official_forecast,,A,"R7見込み。全体平均運用8,923億、長期運用2,906億、全体利回り0.442%、長期利回り0.739%。基金のみの分母ではないため愛媛県基金との直接比較には注意。",長期運用の年限別内訳・債券種別構成まで公表。investment_incomeは長期運用利息見込み。
大阪府,270008,2026,,annual_plan,prefecture_public_money,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,令和8年度長期運用計画を策定し、財投機関債20年の購入も委員会で検討。,第25回大阪府財務マネジメント委員会,HTML,,https://www.pref.osaka.lg.jp/o050010/zaisei/oosakafuzaimumanezim/zaimane25.html,2026-03-24,official_plan,,A,長期運用計画・商品・年限管理まで公開。R8実績ではなく計画。,「見つからない」を「存在しない」とは扱わない。
兵庫県,280003,2025,2026-03-31,annual_actual,prefecture_public_money,NUMERIC_OFFICIAL,,840300.0,,,,229400.0,,,,,,,,,,,0.636,0.84,,6.21,,,1.0,1.0,1.0,,,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,2026,official_actual,新規購入年限平均6.21年は公表資料記載値。基金全体平均残高等とはスコープが異なるため混同しない。,A,運用実績・債券年限・新規購入銘柄を詳細公表。ただし資料の集計対象は基金のみではなく県資金管理全体を含むためスコープ調整が必要。,"短期運用平均6,109億、債券2,294億、合計8,403億。詳細な購入年限表あり。 R7新規債券購入は計668億円、加重平均利率1.363%、平均年限6.21年（1/2/3/5/10/20/30年に分散）。"
兵庫県,280003,2026,,annual_plan,prefecture_public_money,NUMERIC_OFFICIAL_PLAN,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,R7実績を踏まえ、年度別運用計画・年限分散を継続。,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,,official_plan,,A,資金管理委員会、運用指針、年度計画、新規債券購入の年限まで公開。R8数値は計画扱い。,「見つからない」を「存在しない」とは扱わない。
奈良県,290009,2025,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,奈良県 決算審査・基金運用状況,,,,,searched_not_found,,E,R7基金全体の債券残高・利回り等を比較可能な公表資料を確認できず。,R6統一統計では有価証券比率が上昇しているため追加照会候補。
奈良県,290009,2026,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,奈良県 公金・基金運用関係公開資料,,,,,searched_not_found,,E,R8年度途中の比較可能数値を確認できず。,「見つからない」を「存在しない」とは扱わない。
