prefecture,prefecture_code,fiscal_year,as_of_date,period_type,scope,data_status,source_framework,fund_balance_million_yen,average_fund_balance_million_yen,cash_deposit_million_yen,securities_million_yen,government_bonds_million_yen,local_bonds_million_yen,securities_ratio_pct,government_bond_ratio_pct,cash_deposit_ratio_pct,investment_income_million_yen,fund_investment_income_million_yen,investment_yield_pct,bond_yield_pct,deposit_yield_pct,average_maturity_years,duration_years,source_document,source_url,comparison_level,comparison_notes,notes
埼玉県,110001,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,261198.036,,93361.901,167836.135,,165113.682,64.25627756251583,,35.74372243748417,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
千葉県,120006,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,387627.269,,387527.269,100.0,,0.0,0.0257979786246668,,99.97420202137532,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
東京都,130001,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,2361531.791,,2154797.482,101115.157,,0.0,4.281761413729789,,91.24575371850244,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
神奈川県,140007,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,341147.406,,323995.919,16926.065,,16926.065,4.961510684914895,,94.97241172046314,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
新潟県,150002,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,112436.693,,112336.978,21.402,,0.0,0.0190347113819863,,99.91131453857328,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
富山県,160008,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,60666.53,,52239.114,8307.497,,630.0,13.693707222087696,,86.10862365129505,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
石川県,170003,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,135186.519,,134519.218,10.029,,0.0,0.0074186391322051,,99.50638495248182,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
福井県,180009,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,36560.919,,35660.919,900.0,,0.0,2.461644905588943,,97.53835509441106,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
山梨県,190004,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,92715.389,,83412.426,9302.963,,800.0,10.033893078958014,,89.966106921042,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
長野県,200000,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,125079.606,,118939.866,6088.71,,4098.11,4.867867908058489,,95.09133407407758,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
岐阜県,210005,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,102223.735,,70233.398,31990.337,,22591.255,31.29443176772987,,68.70556823227012,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
静岡県,220001,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,141581.59,,115006.001,26575.589,,15791.288,18.770511759332557,,81.22948824066746,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
愛知県,230006,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,375740.291,,371291.216,4200.0,,4200.0,1.1177933537077076,,98.8159175082983,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
三重県,240001,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,95352.551,,93521.66,1830.891,,1830.891,1.920127968049853,,98.07987203195016,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
滋賀県,250007,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,88514.298,,85973.003,2377.909,,0.0,2.686468800780638,,97.12894407183798,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
京都府,260002,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,18999.383,,16999.671,1999.712,,1200.0,10.525141790130762,,89.47485820986923,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
大阪府,270008,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,475332.101,,466944.822,6428.604,,2619.164,1.3524447405246884,,98.23549072693493,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
兵庫県,280003,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,104886.668,,96754.363,5866.0,,0.0,5.592703164142844,,92.24657894557198,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
奈良県,290009,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,188313.884,,175723.329,12499.9,,0.0,6.637800535195801,,93.3140590950798,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
和歌山県,300004,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,71325.299,,71325.299,0.0,,0.0,0.0,,100.0,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
鳥取県,310000,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,62502.585,,55852.374,6650.211,,6650.211,10.639897533838,,89.360102466162,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
島根県,320005,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,45182.681,,20281.193,24892.162,,4760.42,55.09226422398441,,44.88709512390378,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
岡山県,330001,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,109437.47,,97434.261,12003.209,,7591.182,10.968098038085127,,89.03190196191487,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
広島県,340006,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,165516.03,,164518.644,0.0,,0.0,0.0,,99.39740821478136,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
山口県,350001,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,69956.104,,69933.435,0.0,,0.0,0.0,,99.96759539382008,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
徳島県,360007,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,87845.803,,87090.455,706.514,,0.0,0.8042660842886256,,99.14014332591393,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
香川県,370002,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,76237.949,,76237.949,0.0,,0.0,0.0,,100.0,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
愛媛県,380008,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,115771.393,,114231.078,1540.315,,0.0,1.33047980168987,,98.66952019831012,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
高知県,390003,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,54360.747,,51767.602,2359.707,,1089.058,4.340828870508346,,95.22974730277345,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
福岡県,400009,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,180114.721,,161562.974,18491.986,,3432.064,10.266782136036513,,89.70003845493562,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
佐賀県,410004,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,72733.802,,72681.334,0.0,,0.0,0.0,,99.92786297628166,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
長崎県,420000,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,98537.806,,89806.246,8731.56,,2283.995,8.861126865357647,,91.13887313464237,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
熊本県,430005,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,108590.422,,65369.241,43172.419,,24590.638,39.75711504279816,,60.19798044435263,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
大分県,440001,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,81174.592,,39495.004,41400.047,,15593.272,51.00123817068276,,48.65439175844579,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
宮崎県,450006,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,135574.55,,114573.112,20864.607,,1183.636,15.389766737193671,,84.50930650332235,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
鹿児島県,460001,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,100241.416,,93215.127,6994.513,,5910.696,6.977667793519597,,92.99063273407867,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
沖縄県,470007,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,154701.838,,144839.959,9861.879,,6153.347,6.374765243577779,,93.62523475642224,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
北海道,10006,2023,2024-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,152968.813,,146478.813,6490.0,,2000.0,4.242694881864581,,95.75730511813542,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
青森県,20001,2023,2024-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,149325.697,,147123.71,2130.0,,2130.0,1.4264122269591684,,98.52537972750932,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
岩手県,30007,2023,2024-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,118111.945,,0.0,11612.076,,4040.0,9.831415442358518,,0.0,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
宮城県,40002,2023,2024-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,205385.163,,193420.343,11964.82,,942.812,5.825552257638007,,94.174447742362,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
秋田県,50008,2023,2024-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,78022.393,,76716.027,1050.0,,0.0,1.345767490110179,,98.32565248287118,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
山形県,60003,2023,2024-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,70720.529,,68906.156,1789.445,,0.0,2.530304885021434,,97.43444650986704,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
福島県,70009,2023,2024-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,526501.975,,447885.023,78494.755,,2399.483,14.908729449685351,,85.06806133063414,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
茨城県,80004,2023,2024-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,228075.264,,227870.905,0.0,,0.0,0.0,,99.91039843759646,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
栃木県,90000,2023,2024-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,120357.793,,111693.932,8340.0,,6390.0,6.929339423829414,,92.8015787062496,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
群馬県,100005,2023,2024-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,127109.625,,124194.07,2845.916,,2545.916,2.238946106559594,,97.70626732633347,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
埼玉県,110001,2023,2024-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,284886.735,,107708.09,177178.645,,174171.524,62.19266228734729,,37.80733771265272,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
