prefecture,fiscal_year,variable_name,source_document,source_page,source_table,source_url,publication_date,source_quote_or_summary,source_unit,notes
福島県,2025,average_fund_balance_million_yen,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,2026-08-17,560678.049315,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金現金は一括運用の定期預金、債券は別管理として掲載。
福島県,2025,cash_deposit_million_yen,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,2026-08-17,420042.980822,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金現金は一括運用の定期預金、債券は別管理として掲載。
福島県,2025,securities_million_yen,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,2026-08-17,140635.068493,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金現金は一括運用の定期預金、債券は別管理として掲載。
福島県,2025,securities_ratio_pct,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,2026-08-17,25.083034490973706,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金現金は一括運用の定期預金、債券は別管理として掲載。
福島県,2025,cash_deposit_ratio_pct,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,2026-08-17,74.9169655090263,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金現金は一括運用の定期預金、債券は別管理として掲載。
福島県,2025,fund_investment_income_million_yen,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,2026-08-17,1629.896989,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金現金は一括運用の定期預金、債券は別管理として掲載。
福島県,2025,investment_yield_pct,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,2026-08-17,0.29070105223332754,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金現金は一括運用の定期預金、債券は別管理として掲載。
福島県,2025,bond_yield_pct,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,2026-08-17,0.386,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金現金は一括運用の定期預金、債券は別管理として掲載。
福島県,2025,deposit_yield_pct,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,2026-08-17,0.259,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金現金は一括運用の定期預金、債券は別管理として掲載。
福島県,2025,lump_sum_management,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,2026-08-17,1,0/1,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 基金現金は一括運用の定期預金、債券は別管理として掲載。
福島県,2026,lump_sum_management,福島県 公金の管理・運用状況,HTML,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_current_page; 「見つからない」を「存在しない」とは扱わない。
茨城県,2025,average_fund_balance_million_yen,令和8年度資金管理方針,,,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,2026,261700,百万円,period_type=annual_plan; scope=prefecture_funds; source_type=official_forecast; R7は確定実績ではなく見込み。ランキングには使用しない。
茨城県,2025,investment_income_million_yen,令和8年度資金管理方針,,,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,2026,1402,百万円,period_type=annual_plan; scope=prefecture_funds; source_type=official_forecast; R7は確定実績ではなく見込み。ランキングには使用しない。
茨城県,2025,investment_yield_pct,令和8年度資金管理方針,,,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,2026,0.536,％,period_type=annual_plan; scope=prefecture_funds; source_type=official_forecast; R7は確定実績ではなく見込み。ランキングには使用しない。
茨城県,2025,R7_policy_change,令和8年度資金管理方針,,,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,2026,金利上昇局面を踏まえ、債券運用割合を高め運用収入の最大化を図る方針。,記述,period_type=annual_plan; scope=prefecture_funds; source_type=official_forecast; R7は確定実績ではなく見込み。ランキングには使用しない。
茨城県,2026,lump_sum_management,令和8年度資金管理方針,,,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,,1,0/1,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
茨城県,2026,risk_policy_public,令和8年度資金管理方針,,,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,,1,0/1,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
茨城県,2026,R8_policy_change,令和8年度資金管理方針,,,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,,金利上昇を踏まえ債券運用割合を引き上げ、基金の一括運用等で収益性向上。,記述,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
栃木県,2025,risk_policy_public,栃木県 公金運用,HTML,,https://www.pref.tochigi.lg.jp/i02/koukinunyou.html,,1,0/1,period_type=unknown; scope=prefecture_funds; source_type=official_index; 「見つからない」を「存在しない」とは扱わない。
栃木県,2026,risk_policy_public,栃木県公金管理・運用方針,HTML,,https://www.pref.tochigi.lg.jp/i02/koukinunyou.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
群馬県,2026,risk_policy_public,公金の管理・運用 Q&A,HTML,,https://www.pref.gunma.jp/page/17941.html,2026-04-22,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
群馬県,2026,R8_policy_change,公金の管理・運用 Q&A,HTML,,https://www.pref.gunma.jp/page/17941.html,2026-04-22,基金現金は運用可能期間、金利情勢、基金の性質を考慮し預金・債券で運用。現在の債券は地方債・政府保証債・JFM債・財投機関債。,記述,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
埼玉県,2025,average_fund_balance_million_yen,令和7年度第4四半期・公金の運用状況について,,,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,2026,1360100,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
埼玉県,2025,cash_deposit_million_yen,令和7年度第4四半期・公金の運用状況について,,,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,2026,476000,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
埼玉県,2025,securities_million_yen,令和7年度第4四半期・公金の運用状況について,,,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,2026,884100,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
埼玉県,2025,securities_ratio_pct,令和7年度第4四半期・公金の運用状況について,,,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,2026,65.0,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
埼玉県,2025,cash_deposit_ratio_pct,令和7年度第4四半期・公金の運用状況について,,,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,2026,35.0,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
埼玉県,2025,fund_investment_income_million_yen,令和7年度第4四半期・公金の運用状況について,,,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,2026,8280.705,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
埼玉県,2025,investment_yield_pct,令和7年度第4四半期・公金の運用状況について,,,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,2026,0.609,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
埼玉県,2025,lump_sum_management,令和7年度第4四半期・公金の運用状況について,,,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,2026,1,0/1,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
埼玉県,2026,lump_sum_management,埼玉県 公金運用状況,HTML,,https://www.pref.saitama.lg.jp/a1201/koukinkanri.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
埼玉県,2026,risk_policy_public,埼玉県 公金運用状況,HTML,,https://www.pref.saitama.lg.jp/a1201/koukinkanri.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
千葉県,2025,average_fund_balance_million_yen,令和7年度公金運用状況,HTML,,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,2026,1254300,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 国債単独残高は当該公表では分離されていない。
千葉県,2025,cash_deposit_million_yen,令和7年度公金運用状況,HTML,,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,2026,500500,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 国債単独残高は当該公表では分離されていない。
千葉県,2025,securities_million_yen,令和7年度公金運用状況,HTML,,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,2026,753800,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 国債単独残高は当該公表では分離されていない。
千葉県,2025,securities_ratio_pct,令和7年度公金運用状況,HTML,,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,2026,60.1,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 国債単独残高は当該公表では分離されていない。
千葉県,2025,cash_deposit_ratio_pct,令和7年度公金運用状況,HTML,,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,2026,39.9,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 国債単独残高は当該公表では分離されていない。
千葉県,2025,fund_investment_income_million_yen,令和7年度公金運用状況,HTML,,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,2026,6049.462,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 国債単独残高は当該公表では分離されていない。
千葉県,2025,investment_yield_pct,令和7年度公金運用状況,HTML,,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,2026,0.482,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 国債単独残高は当該公表では分離されていない。
千葉県,2025,risk_policy_public,令和7年度公金運用状況,HTML,,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,2026,1,0/1,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 国債単独残高は当該公表では分離されていない。
千葉県,2026,risk_policy_public,千葉県 公金管理,HTML,,https://www.pref.chiba.lg.jp/suitou/koukinkanri.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
東京都,2025,average_fund_balance_million_yen,令和7年度公金管理実績（年間及び第4四半期）,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/05/2026052909,2026-05-29,3792100,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
東京都,2025,fund_investment_income_million_yen,令和7年度公金管理実績（年間及び第4四半期）,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/05/2026052909,2026-05-29,20973.5,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
東京都,2025,investment_yield_pct,令和7年度公金管理実績（年間及び第4四半期）,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/05/2026052909,2026-05-29,0.553,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
東京都,2025,lump_sum_management,令和7年度公金管理実績（年間及び第4四半期）,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/05/2026052909,2026-05-29,1,0/1,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
東京都,2026,average_fund_balance_million_yen,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,3480000,百万円,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,cash_deposit_million_yen,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,2000000,百万円,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,securities_million_yen,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,1480000,百万円,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,government_bonds_million_yen,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,488400.0,百万円,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,local_bonds_million_yen,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,370000.0,百万円,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,government_guaranteed_bonds_million_yen,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,14800.0,百万円,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,fiscal_investment_agency_bonds_million_yen,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,488400.0,百万円,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,securities_ratio_pct,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,43.0,％,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,government_bond_ratio_pct,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,14.034482758620689,％,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,cash_deposit_ratio_pct,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,57.0,％,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,lump_sum_management,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,1,0/1,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,maturity_ladder,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,1,0/1,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,risk_policy_public,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,1,0/1,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
東京都,2026,R8_policy_change,令和8年度公金管理計画,HTML,,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,2026-03-30,"一括運用・複合ラダー型ポートフォリオを拡充。短期4,000億、中期5,100億、長期5,700億円を想定。",記述,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; R8年度想定。実績ランキングには使用しない。 債券種別金額は計画表の構成比から計算した概算。
神奈川県,2025,risk_policy_public,神奈川県 公金管理運用実績,HTML,,https://www.pref.kanagawa.jp/docs/f8r/cnt/f618/r01-koukin.html,,1,0/1,"period_type=unknown; scope=prefecture_funds; source_type=official_index; R6は基金平均残高13,061億円、債券7,478億円、利回り0.686%、運用収入89億5,701万円だがStage2数値には転記しない。"
神奈川県,2026,maturity_ladder,神奈川県 公金管理方針・運用実績ページ,HTML,,https://www.pref.kanagawa.jp/docs/f8r/cnt/f618/r01-koukin.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
神奈川県,2026,risk_policy_public,神奈川県 公金管理方針・運用実績ページ,HTML,,https://www.pref.kanagawa.jp/docs/f8r/cnt/f618/r01-koukin.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
新潟県,2025,fund_investment_income_million_yen,令和7年度公金運用状況,HTML,,https://www.pref.niigata.lg.jp/site/suitou/reiwa7nendokoukinunyoujyoukyou.html,2026,1905.117433,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 預金及び国債等により一括運用。
新潟県,2025,lump_sum_management,令和7年度公金運用状況,HTML,,https://www.pref.niigata.lg.jp/site/suitou/reiwa7nendokoukinunyoujyoukyou.html,2026,1,0/1,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 預金及び国債等により一括運用。
新潟県,2026,lump_sum_management,新潟県 公金運用,HTML,,https://www.pref.niigata.lg.jp/site/suitou/reiwa7nendokoukinunyoujyoukyou.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_current_page; 「見つからない」を「存在しない」とは扱わない。
富山県,2025,risk_policy_public,令和7年度富山県歳入歳出決算及び基金の運用状況審査意見書／基金運用関係答弁,HTML,,https://www.pref.toyama.jp/200/r7ikensho.html,2026-09-07,1,0/1,period_type=year_end_actual; scope=prefecture_funds; source_type=official_audit_and_policy; 「見つからない」を「存在しない」とは扱わない。
富山県,2025,R7_policy_change,令和7年度富山県歳入歳出決算及び基金の運用状況審査意見書／基金運用関係答弁,HTML,,https://www.pref.toyama.jp/200/r7ikensho.html,2026-09-07,短期は預金等、長期は国債等で運用。R7に運用基準を改定し財投機関債等を対象に追加、より長い年限も検討。,記述,period_type=year_end_actual; scope=prefecture_funds; source_type=official_audit_and_policy; 「見つからない」を「存在しない」とは扱わない。
富山県,2026,risk_policy_public,富山県 公金運用関係資料,HTML,,https://www.pref.toyama.jp/200/r7ikensho.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
富山県,2026,R8_policy_change,富山県 公金運用関係資料,HTML,,https://www.pref.toyama.jp/200/r7ikensho.html,,R7に追加した財投機関債等を含め、金利環境を踏まえた長期運用を検討。,記述,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
石川県,2025,average_fund_balance_million_yen,基金の運用状況,HTML,,https://www.pref.ishikawa.lg.jp/zaisei/data/koukinunyou/h28kikinunyou.html,2026,167400,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 債券残高が無いためB判定は利回り中心の部分比較。厳密な債券比率比較ではC相当。
石川県,2025,fund_investment_income_million_yen,基金の運用状況,HTML,,https://www.pref.ishikawa.lg.jp/zaisei/data/koukinunyou/h28kikinunyou.html,2026,421.66,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 債券残高が無いためB判定は利回り中心の部分比較。厳密な債券比率比較ではC相当。
石川県,2025,investment_yield_pct,基金の運用状況,HTML,,https://www.pref.ishikawa.lg.jp/zaisei/data/koukinunyou/h28kikinunyou.html,2026,0.252,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 債券残高が無いためB判定は利回り中心の部分比較。厳密な債券比率比較ではC相当。
福井県,2025,average_fund_balance_million_yen,資金運用について,HTML,,https://www.pref.fukui.lg.jp/doc/shinsa/shikin.html,2026,160224,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=calculated; 「見つからない」を「存在しない」とは扱わない。
福井県,2025,fund_investment_income_million_yen,資金運用について,HTML,,https://www.pref.fukui.lg.jp/doc/shinsa/shikin.html,2026,529.37,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=calculated; 「見つからない」を「存在しない」とは扱わない。
福井県,2025,investment_yield_pct,資金運用について,HTML,,https://www.pref.fukui.lg.jp/doc/shinsa/shikin.html,2026,0.3303936988216497,％,period_type=annual_actual; scope=prefecture_funds; source_type=calculated; 「見つからない」を「存在しない」とは扱わない。
福井県,2026,risk_policy_public,福井県 資金運用について,HTML,,https://www.pref.fukui.lg.jp/doc/shinsa/shikin.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_current_page; 「見つからない」を「存在しない」とは扱わない。
長野県,2025,risk_policy_public,令和7年度長野県歳入歳出決算等 審査意見書,HTML,,https://www.pref.nagano.lg.jp/kansa/kensei/kansa/kekka/kekka.html,2026-09-14,1,0/1,period_type=year_end_actual; scope=prefecture_funds; source_type=official_audit; 基本方針では長期資金は国債・地方債等で運用し原則満期保有。
長野県,2026,risk_policy_public,長野県公金管理基本方針,HTML,,https://www.pref.nagano.lg.jp/kaikei/kensei/soshiki/soshiki/kencho/kaikei/hoshin.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
岐阜県,2025,risk_policy_public,岐阜県 出納管理課 公金運用情報,HTML,,https://www.pref.gifu.lg.jp/soshiki/11113/index.html,,1,0/1,period_type=unknown; scope=prefecture_funds; source_type=official_index; 「見つからない」を「存在しない」とは扱わない。
