prefecture,prefecture_code,fiscal_year,search_performed,data_status,period_type,source_document,source_url,comparison_level,comparison_notes,search_query_pattern,search_result
千葉県,120006,2025,YES,NUMERIC_OFFICIAL,annual_actual,令和7年度公金運用状況,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,B,基金平均残高、預金・債券構成、運用収入、利回りを比較可能。債券は国債・地方債等と記載。,千葉県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
千葉県,120006,2026,YES,PARTIAL_OFFICIAL,policy_only,千葉県 公金管理,https://www.pref.chiba.lg.jp/suitou/koukinkanri.html,B,対象商品・運用方針は公表。R8年度途中の基金全体数値は未確認。,千葉県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
東京都,130001,2025,YES,NUMERIC_OFFICIAL,annual_actual,令和7年度公金管理実績（年間及び第4四半期）,https://www.metro.tokyo.lg.jp/information/press/2026/05/2026052909,A,基金平均残高、運用収入、利回りを比較可能。最終実績ページでは本調査用の国債単独残高を確認できず。,東京都 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
東京都,130001,2026,YES,NUMERIC_OFFICIAL_PLAN,annual_plan,令和8年度公金管理計画,https://www.metro.tokyo.lg.jp/information/press/2026/03/2026033034,A,計画値だが、基金平均残高、預金・債券構成、年限区分まで公表。実績とは分離して扱う。,東京都 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
神奈川県,140007,2025,YES,SEARCHED_NOT_FOUND,unknown,神奈川県 公金管理運用実績,https://www.pref.kanagawa.jp/docs/f8r/cnt/f618/r01-koukin.html,D,調査時点で確認できた詳細実績はR6まで。R7年間実績は検索で確認できず。,神奈川県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
神奈川県,140007,2026,YES,PARTIAL_OFFICIAL,policy_only,神奈川県 公金管理方針・運用実績ページ,https://www.pref.kanagawa.jp/docs/f8r/cnt/f618/r01-koukin.html,D,長期資金を国債・政府保証債・地方債等で運用し満期分散する方針は確認。R8数値は未確認。,神奈川県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
新潟県,150002,2025,YES,NUMERIC_OFFICIAL,annual_actual,令和7年度公金運用状況,https://www.pref.niigata.lg.jp/site/suitou/reiwa7nendokoukinunyoujyoukyou.html,D,基金運用収入は確認できるが、本調査で基金全体平均残高・債券残高・利回りの統一表は抽出できず。,新潟県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
新潟県,150002,2026,YES,PARTIAL_OFFICIAL,policy_only,新潟県 公金運用,https://www.pref.niigata.lg.jp/site/suitou/reiwa7nendokoukinunyoujyoukyou.html,D,R7実績は公表済み。R8年度途中の統一数値は未確認。,新潟県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
富山県,160008,2025,YES,PARTIAL_OFFICIAL,year_end_actual,令和7年度富山県歳入歳出決算及び基金の運用状況審査意見書／基金運用関係答弁,https://www.pref.toyama.jp/200/r7ikensho.html,D,R7決算審査意見書は公開済み。債券対象拡大・年限検討は確認したが、基金全体の統一運用表は本調査では未抽出。,富山県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
富山県,160008,2026,YES,PARTIAL_OFFICIAL,policy_only,富山県 公金運用関係資料,https://www.pref.toyama.jp/200/r7ikensho.html,D,公式サイトをR7/R8、公金運用、基金運用、債券、国債等の語で検索したが、当該年度の比較可能な数値資料を確認できず。,富山県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
石川県,170003,2025,YES,NUMERIC_OFFICIAL,annual_actual,基金の運用状況,https://www.pref.ishikawa.lg.jp/zaisei/data/koukinunyou/h28kikinunyou.html,D,基金平均運用額、運用収入、平均利回りを比較可能。商品は譲渡性預金・大口定期・債券だが当該集計で債券残高を分離確認できず。,石川県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
石川県,170003,2026,YES,PARTIAL_OFFICIAL,policy_only,石川県 公金運用実績ページ,https://www.pref.ishikawa.lg.jp/zaisei/data/koukinunyou/h28kikinunyou.html,D,R7年間実績は公表。R8年度途中数値は未確認。,石川県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
福井県,180009,2025,YES,NUMERIC_OFFICIAL,annual_actual,資金運用について,https://www.pref.fukui.lg.jp/doc/shinsa/shikin.html,D,平均基金残高と利息収入は公表。利回りは同じ定義の分母・分子からPython計算。債券残高は当該公表から分離できず。,福井県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
福井県,180009,2026,YES,PARTIAL_OFFICIAL,policy_only,福井県 資金運用について,https://www.pref.fukui.lg.jp/doc/shinsa/shikin.html,D,基金条例上、預金・国債・地方債・政府保証証券等で運用可能。R8途中数値は未確認。,福井県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
山梨県,190004,2025,YES,SEARCHED_NOT_FOUND,unknown,山梨県 公金運用実績について,https://www.pref.yamanashi.jp/sui-kai/koukinunyou20.html,E,R7の基金全体について債券残高・国債残高・利回りを比較可能な公式資料を本調査では確認できず。,山梨県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
山梨県,190004,2026,YES,SEARCHED_NOT_FOUND,unknown,山梨県 公金運用実績について,https://www.pref.yamanashi.jp/sui-kai/koukinunyou20.html,E,R8年度途中の比較可能数値を確認できず。,山梨県 令和8年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
長野県,200000,2025,YES,PARTIAL_OFFICIAL,year_end_actual,令和7年度長野県歳入歳出決算等 審査意見書,https://www.pref.nagano.lg.jp/kansa/kensei/kansa/kekka/kekka.html,D,R7決算審査意見書は公表済みだが、基金全体の運用商品別残高・利回りの横断集計は本調査では確認できず。,長野県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
長野県,200000,2026,YES,PARTIAL_OFFICIAL,policy_only,長野県公金管理基本方針,https://www.pref.nagano.lg.jp/kaikei/kensei/soshiki/soshiki/kencho/kaikei/hoshin.html,D,国債・地方債等、満期保有、適正運用期間等の方針を確認。R8数値は未確認。,長野県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
岐阜県,210005,2025,YES,SEARCHED_NOT_FOUND,unknown,岐阜県 出納管理課 公金運用情報,https://www.pref.gifu.lg.jp/soshiki/11113/index.html,D,運用実績ページへの導線はあるが、本調査でR7年間実績の数値を確認できず。,岐阜県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
岐阜県,210005,2026,YES,PARTIAL_OFFICIAL,policy_only,公金の運用方針,https://www.pref.gifu.lg.jp/page/23266.html,D,国債・政府保証債・地方債等、満期保有、分散運用、基金所管課との期間調整を明記。R8数値未確認。,岐阜県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
静岡県,220001,2025,YES,NUMERIC_OFFICIAL,annual_actual,令和7年度資金運用実績,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,B,基金の預金・債券平均残高、各利回り、運用収入を比較可能。債券銘柄・年限内訳は当該表では未確認。,静岡県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
静岡県,220001,2026,YES,PARTIAL_OFFICIAL,policy_only,静岡県 資金運用,https://www.pref.shizuoka.jp/kensei/zaiseisuito/suito/1030351.html,B,基金一括運用、競争入札、国債・地方債等の方針は確認。R8途中数値は未確認。,静岡県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
愛知県,230006,2025,YES,PARTIAL_OFFICIAL,policy_only,2025年度愛知県財務マネジメント懇談会 議事概要,https://www.pref.aichi.jp/soshiki/shikin-kikaku/zaimumanagement2025.html,D,「一括運用基金における債券運用」が正式議題。会議録は非公開で数値比較はできず。,愛知県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
愛知県,230006,2026,YES,PARTIAL_OFFICIAL,policy_only,愛知県 資金企画・財務マネジメント,https://www.pref.aichi.jp/soshiki/shikin-kikaku/zaimumanagement2025.html,D,債券運用のガバナンスは確認できるがR8基金ポートフォリオ数値は未確認。,愛知県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
三重県,240001,2025,YES,NUMERIC_OFFICIAL_FORECAST,annual_plan,令和8年2月27日 三重県議会定例会会議録,https://www.pref.mie.lg.jp/common/content/001256985.pdf,D,R7基金運用収益は「約7億円を超える見込み」。確定実績・平均残高・債券残高は未確認。,三重県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
三重県,240001,2026,YES,PARTIAL_OFFICIAL,policy_only,令和8年2月27日 三重県議会定例会会議録,https://www.pref.mie.lg.jp/common/content/001256985.pdf,D,管理手法は確認できるがR8実績数値は未確認。,三重県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
滋賀県,250007,2025,YES,PARTIAL_OFFICIAL,policy_only,滋賀県 会計課（資金管理・出納係）,https://www.pref.shiga.lg.jp/kensei/gaiyou/soshiki/kaikeikanrikyoku/kaikeika/,D,会計課が基金等資金の管理・運用を所管することを確認。R7の債券残高・国債残高・利回り等の比較可能な実績は未確認。,滋賀県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
滋賀県,250007,2026,YES,PARTIAL_OFFICIAL,policy_only,滋賀県 会計管理局 公金管理関係資料,https://www.pref.shiga.lg.jp/ka00/9122.html,D,R8基金ポートフォリオの比較可能数値は未確認。,滋賀県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
京都府,260002,2025,YES,PARTIAL_OFFICIAL,year_end_actual,令和7年度京都府歳入歳出決算・基金の概要,https://www.pref.kyoto.jp/kessan/07kessan.html,D,R7基金残高資料は公表済みだが、基金全体の預金・債券別運用実績・利回りの専用比較表は本調査で未確認。,京都府 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
京都府,260002,2026,YES,SEARCHED_NOT_FOUND,unknown,京都府 決算・基金資料,https://www.pref.kyoto.jp/kessan/07kessan.html,D,R8年度途中の基金運用ポートフォリオ数値を確認できず。,京都府 令和8年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
大阪府,270008,2025,YES,NUMERIC_OFFICIAL_FORECAST,annual_plan,第25回大阪府財務マネジメント委員会 資料7「資金運用の実績について」,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,A,"R7見込み。全体平均運用8,923億、長期運用2,906億、全体利回り0.442%、長期利回り0.739%。基金のみの分母ではないため愛媛県基金との直接比較には注意。",大阪府 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
大阪府,270008,2026,YES,PARTIAL_OFFICIAL,annual_plan,第25回大阪府財務マネジメント委員会,https://www.pref.osaka.lg.jp/o050010/zaisei/oosakafuzaimumanezim/zaimane25.html,A,長期運用計画・商品・年限管理まで公開。R8実績ではなく計画。,大阪府 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
兵庫県,280003,2025,YES,NUMERIC_OFFICIAL,annual_actual,令和7年度資金運用実績及び令和8年度資金運用計画,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,B,運用実績・債券年限・新規購入銘柄を詳細公表。ただし資料の集計対象は基金のみではなく県資金管理全体を含むためスコープ調整が必要。,兵庫県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
兵庫県,280003,2026,YES,NUMERIC_OFFICIAL_PLAN,annual_plan,令和7年度資金運用実績及び令和8年度資金運用計画,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,B,資金管理委員会、運用指針、年度計画、新規債券購入の年限まで公開。R8数値は計画扱い。,兵庫県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
奈良県,290009,2025,YES,SEARCHED_NOT_FOUND,unknown,奈良県 決算審査・基金運用状況,,E,R7基金全体の債券残高・利回り等を比較可能な公表資料を確認できず。,奈良県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
奈良県,290009,2026,YES,SEARCHED_NOT_FOUND,unknown,奈良県 公金・基金運用関係公開資料,,E,R8年度途中の比較可能数値を確認できず。,奈良県 令和8年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
和歌山県,300004,2025,YES,PARTIAL_OFFICIAL,policy_only,令和7年12月 和歌山県議会定例会会議録（基金運用答弁）,https://www.pref.wakayama.lg.jp/gijiroku/d00221553.html,D,基金は基本的に預貯金で運用し、県債管理基金の一部は他自治体地方債等で債券運用する旨を公式答弁で確認。R7の残高・利回り等は未確認。,和歌山県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
和歌山県,300004,2026,YES,PARTIAL_OFFICIAL,policy_only,和歌山県 財政状況の公表（R8）,https://www.pref.wakayama.lg.jp/prefg/010400/d00156229.html,D,R8財政状況資料は公表されているが、基金の債券残高・国債残高・利回り等の比較可能な運用実績は確認できず。,和歌山県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
鳥取県,310000,2025,YES,NUMERIC_OFFICIAL,annual_actual,基金の総額・運用実績,https://www.pref.tottori.lg.jp/258342.htm,B,年度末基金総額・預金・有価証券、預金/債券の平均残高・利息・利回りまで比較可能。国債単独残高は分離なし。,鳥取県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
鳥取県,310000,2026,YES,PARTIAL_OFFICIAL,policy_only,資金運用（歳計現金、基金）,https://www.pref.tottori.lg.jp/258339.htm,B,基金は銀行預金、有価証券（国債・政府保証債・地方債）を基本。R8途中数値は未確認。,鳥取県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
島根県,320005,2025,YES,SEARCHED_NOT_FOUND,unknown,島根県 財政課 基金運用関係公開資料,,D,R7基金全体の国債・債券残高、利回りの比較可能な公表実績を確認できず。,島根県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
島根県,320005,2026,YES,PARTIAL_OFFICIAL,policy_only,令和8年度 島根県会計年度任用職員採用試験受験案内,https://www.pref.shimane.lg.jp/admin/syokuin/bosyu/bosyu_somu/kaikei_saiyoushiken_issei.data/jukenannai_0801.pdf,D,R8に国債等の購入・管理業務が明示され、運用体制強化の証拠。ただしポートフォリオ数値は未確認。,島根県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
岡山県,330001,2025,YES,NUMERIC_OFFICIAL_FORECAST,year_end_actual,令和7年度 基金の状況（決算見込）,https://www.pref.okayama.jp/uploaded/life/1052449_10196574_misc.pdf,D,R7年度末基金残高見込は公表。運用資産の現預金・債券内訳、国債残高、利回りは当該資料では確認できず。,岡山県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
岡山県,330001,2026,YES,PARTIAL_OFFICIAL,policy_only,岡山県公金運用方針に関する公式監査資料,https://www.pref.okayama.jp/uploaded/life/771490_9281663_misc.pdf,D,R8比較可能数値は未確認。,岡山県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
広島県,340006,2025,YES,PARTIAL_OFFICIAL,year_end_actual,広島県 財政状況・公金関連公開資料,https://www.pref.hiroshima.lg.jp/site/zaiseiyosann/zaiseijoukyou080529.html,D,R7決算関係資料は確認したが、基金全体の債券・国債残高、利回りを横断比較できる運用実績表は未確認。,広島県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
広島県,340006,2026,YES,SEARCHED_NOT_FOUND,unknown,広島県 財政状況・公金関連公開資料,https://www.pref.hiroshima.lg.jp/site/zaiseiyosann/zaiseijoukyou080529.html,D,R8年度途中の基金運用比較数値を確認できず。,広島県 令和8年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
山口県,350001,2025,YES,SEARCHED_NOT_FOUND,unknown,山口県 監査・決算・基金運用関係資料,,E,R7基金全体の公金運用ポートフォリオ・利回りを確認できず。,山口県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
山口県,350001,2026,YES,SEARCHED_NOT_FOUND,unknown,山口県 公金・基金運用関係公開資料,,E,R8比較可能数値を確認できず。,山口県 令和8年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
徳島県,360007,2025,YES,PARTIAL_OFFICIAL,policy_only,徳島新未来創生総合計画（令和7年度版）,https://www.pref.tokushima.lg.jp/file/attachment/993807.pdf,D,債券運用拡大を政策目標として明記。R7基金全体の債券残高・利回り実績は未確認。,徳島県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
徳島県,360007,2026,YES,PARTIAL_OFFICIAL,annual_plan,徳島新未来創生総合計画（令和7年度版）,https://www.pref.tokushima.lg.jp/file/attachment/993807.pdf,D,方針は明確だがR8実績数値は未確認。,徳島県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
香川県,370002,2025,YES,PARTIAL_OFFICIAL,year_end_actual,香川県 決算審査意見書（基金運用状況を含む）,https://www.pref.kagawa.lg.jp/kansai/kessan/kessan.html,D,調査時点の一覧ではR6までの審査意見書掲載を確認。R7基金全体の資産構成・利回りの公表を確認できず。,香川県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
香川県,370002,2026,YES,SEARCHED_NOT_FOUND,unknown,香川県 出納局,https://www.pref.kagawa.lg.jp/suito/index.html,D,R8年度途中の比較可能数値を確認できず。,香川県 令和8年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
