決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:基準財政収入額（千円）,002:基準財政需要額（千円）,003:標準税収入額等（千円）,004:標準財政規模（千円）,005:臨時財政対策債発行可能額（千円）,006:財政力指数（2～4年度）
2022,62,140007,神奈川県,神奈川県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,903628033,1043649683,1146727943,1376993363,90168321,84500
2022,62,150002,新潟県,新潟県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,222659853,480507430,279389032,548180873,10944264,45127
2022,62,160008,富山県,富山県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,124853472,270503286,155078474,307388299,6873222,45346
2022,62,170003,石川県,石川県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,132893843,272201208,164798426,312075840,7970049,48495
2022,62,180009,福井県,福井県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,97103330,233943054,121205503,262208954,4163727,40106
2022,62,190004,山梨県,山梨県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,92796150,242411826,115071491,268591078,4287975,37341
2022,62,200000,長野県,長野県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,231573805,446176821,287050301,516202363,14568350,50303
2022,62,210005,岐阜県,岐阜県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,223048910,416517721,276212500,484482950,15135212,52697
2022,62,220001,静岡県,静岡県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,400956267,583081798,504509786,726566363,39931046,67663
2022,62,230006,愛知県,愛知県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,924783916,1056845896,1162517062,1400259697,105668113,86737
2022,62,240001,三重県,三重県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,214161655,375590944,266158210,445218907,17714513,56594
2022,62,250007,滋賀県,滋賀県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,159628384,297113519,197859363,346850325,11506546,53361
2022,62,260002,京都府,京都府,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,260065682,447631394,329859817,534645298,17219769,56087
2022,62,270008,大阪府,大阪府,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,984028638,1294959850,1242234693,1661424631,108231429,74187
2022,62,280003,兵庫県,兵庫県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,566801363,912822159,707967674,1101386098,47354352,61217
2022,62,290009,奈良県,奈良県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,124776069,302482610,153196790,336500795,5597464,40953
2022,62,300004,和歌山県,和歌山県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,90639205,280075121,111765444,305574736,4373376,31774
2022,62,310000,鳥取県,鳥取県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,56330482,202108606,69672928,218535827,3086337,27043
2022,62,320005,島根県,島根県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,68270160,258152630,84212494,277976278,3871112,25373
2022,62,330001,岡山県,岡山県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,193000367,366971609,242750311,428688956,11796538,50803
2022,62,340006,広島県,広島県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,286232335,482089073,360220426,579288543,23211379,58235
2022,62,350001,山口県,山口県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,147322651,333813145,182885370,376358415,6982551,42898
2022,62,360007,徳島県,徳島県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,77589494,236062605,96429456,258554954,3643464,31200
2022,62,370002,香川県,香川県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,108502076,236343528,134777683,268414402,6011710,45137
2022,62,380008,愛媛県,愛媛県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,141349735,322941903,175546592,362869208,5734708,42197
2022,62,390003,高知県,高知県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,68787500,251346895,84746796,271082248,3792164,26114
2022,62,400009,福岡県,福岡県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,518094389,808048270,655683370,988028165,42390914,62027
2022,62,410004,佐賀県,佐賀県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,84961960,241576123,105527652,266020003,3900070,34091
2022,62,420000,長崎県,長崎県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,122244771,355944260,150732037,389963591,5622478,33263
2022,62,430005,熊本県,熊本県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,159531443,387076670,200574995,435111278,6990093,39703
2022,62,440001,大分県,大分県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,115939319,300262667,143588516,333039115,5127251,37136
2022,62,450006,宮崎県,宮崎県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,107817605,301723313,133542954,332292602,4843994,34084
2022,62,460001,鹿児島県,鹿児島県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,157125643,439923037,194634292,484250625,7104559,33868
2022,62,470007,沖縄県,沖縄県,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,135005619,365854979,167492999,404706530,6201466,35962
2022,62,合計(全国),,,,1,令和4年度・地方財政状況調査表（都道府県分）,1,数値,14432078365,23441876499,19059131686,29350298367,954341163,2320745
