決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2023,62,280003,兵庫県,兵庫県,,2,決算収支の状況,1,令和5年度,2444905048,2417645312,27259736,13109161,14150575,-9822236,22799115,0,5106000,7870879
2023,62,290009,奈良県,奈良県,,2,決算収支の状況,1,令和5年度,546695998,536284251,10411747,5540354,4871393,2065549,1453774,9093000,0,12612323
2023,62,300004,和歌山県,和歌山県,,2,決算収支の状況,1,令和5年度,636274296,608065885,28208411,9691625,18516786,391378,6520218,0,1521652,5389944
2023,62,310000,鳥取県,鳥取県,,2,決算収支の状況,1,令和5年度,389626524,370967375,18659149,9255002,9404147,-4819105,187,2100000,0,-2718918
2023,62,320005,島根県,島根県,,2,決算収支の状況,1,令和5年度,561454234,528059488,33394746,15875164,17519582,-3215847,71025,5387848,0,2243026
2023,62,330001,岡山県,岡山県,,2,決算収支の状況,1,令和5年度,730821476,721336380,9485096,7280937,2204159,-3129525,4381627,0,10607371,-9355269
2023,62,340006,広島県,広島県,,2,決算収支の状況,1,令和5年度,1124841043,1102901381,21939662,16472300,5467362,-4114182,4804130,0,0,689948
2023,62,350001,山口県,山口県,,2,決算収支の状況,1,令和5年度,712962097,678580641,34381456,10641461,23739995,3002288,12549550,0,17800000,-2248162
2023,62,360007,徳島県,徳島県,,2,決算収支の状況,1,令和5年度,531810865,500502981,31307884,16298197,15009687,3460147,5801381,0,6500000,2761528
2023,62,370002,香川県,香川県,,2,決算収支の状況,1,令和5年度,477854963,462664477,15190486,8083798,7106688,568715,3190161,0,3561321,197555
2023,62,380008,愛媛県,愛媛県,,2,決算収支の状況,1,令和5年度,765414818,740769253,24645565,19398473,5247092,-615039,2916707,0,5851055,-3549387
2023,62,390003,高知県,高知県,,2,決算収支の状況,1,令和5年度,483884519,473554741,10329778,7605855,2723923,-950002,6227,0,0,-943775
2023,62,400009,福岡県,福岡県,,2,決算収支の状況,1,令和5年度,2054311220,1993404740,60906480,49069177,11837303,-18359296,13696,0,13374161,-31719761
2023,62,410004,佐賀県,佐賀県,,2,決算収支の状況,1,令和5年度,555571022,539531062,16039960,6400755,9639205,-1441301,5493451,24166,5700000,-1623684
2023,62,420000,長崎県,長崎県,,2,決算収支の状況,1,令和5年度,747602171,731783777,15818394,14742522,1075872,-226953,653000,0,4000000,-3573953
2023,62,430005,熊本県,熊本県,,2,決算収支の状況,1,令和5年度,954296621,903825031,50471590,19548599,30922991,6295295,7241,0,0,6302536
2023,62,440001,大分県,大分県,,2,決算収支の状況,1,令和5年度,710291970,676738407,33553563,25397199,8156364,-770519,3937084,0,0,3166565
2023,62,450006,宮崎県,宮崎県,,2,決算収支の状況,1,令和5年度,685628744,656385854,29242890,15645638,13597252,-1006773,3000392,0,1000000,993619
2023,62,460001,鹿児島県,鹿児島県,,2,決算収支の状況,1,令和5年度,901447777,856075115,45372662,28978216,16394446,-4692714,11052336,500,11042273,-4682151
2023,62,470007,沖縄県,沖縄県,,2,決算収支の状況,1,令和5年度,862154876,846256545,15898331,11459963,4438368,-1179138,3220932,0,3658458,-1616664
2023,62,合計(全国),,,,2,決算収支の状況,1,令和5年度,58489021585,56647302980,1841718605,988209555,853509050,-147788481,402345822,52893767,406195853,-98744745
決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2023,62,10006,北海道,北海道,,2,決算収支の状況,2,令和4年度,3094654845,3058479552,36175293,8606652,27568641,-5403471,24825151,0,22183775,-2762095
2023,62,20001,青森県,青森県,,2,決算収支の状況,2,令和4年度,798600986,770615744,27985242,20094632,7890610,-79232,2322,0,4197572,-4274482
2023,62,30007,岩手県,岩手県,,2,決算収支の状況,2,令和4年度,879040072,824677066,54363006,34589737,19773269,2157025,7808122,4553000,12757052,1761095
2023,62,40002,宮城県,宮城県,,2,決算収支の状況,2,令和4年度,1134875591,1097820691,37054900,23630724,13424176,-13507695,13449570,128897,12580442,-12509670
2023,62,50008,秋田県,秋田県,,2,決算収支の状況,2,令和4年度,658765038,639205052,19559986,4722566,14837420,-1777701,8182667,6632300,9134129,3903137
2023,62,60003,山形県,山形県,,2,決算収支の状況,2,令和4年度,716149217,701825691,14323526,6116337,8207189,1971461,3118382,0,582470,4507373
2023,62,70009,福島県,福島県,,2,決算収支の状況,2,令和4年度,1344287454,1306838789,37448665,28801484,8647181,516089,8460290,0,2602985,6373394
2023,62,80004,茨城県,茨城県,,2,決算収支の状況,2,令和4年度,1340774026,1309533583,31240443,11243750,19996693,-1026357,36643074,4000000,0,39616717
2023,62,90000,栃木県,栃木県,,2,決算収支の状況,2,令和4年度,1010319939,979908390,30411549,9387176,21024373,9590790,5617308,0,1563252,13644846
2023,62,100005,群馬県,群馬県,,2,決算収支の状況,2,令和4年度,992572541,945817362,46755179,15104497,31650682,8936467,17387569,0,3350297,22973739
2023,62,110001,埼玉県,埼玉県,,2,決算収支の状況,2,令和4年度,2285622612,2237199908,48422704,7413085,41009619,6172968,38704028,15000000,20097000,39779996
2023,62,120006,千葉県,千葉県,,2,決算収支の状況,2,令和4年度,2240426182,2204550383,35875799,20288858,15586941,-22602280,4201943,14022,0,-18386315
2023,62,130001,東京都,東京都,,2,決算収支の状況,2,令和4年度,9755045494,9188314158,566731336,280004720,286726616,19815057,204228788,0,281700000,-57656155
2023,62,140007,神奈川県,神奈川県,,2,決算収支の状況,2,令和4年度,2539155772,2492642650,46513122,19782642,26730480,18422194,4205106,0,54725549,-32098249
2023,62,150002,新潟県,新潟県,,2,決算収支の状況,2,令和4年度,1193390575,1166079268,27311307,8026485,19284822,5298640,12306692,0,15100000,2505332
2023,62,160008,富山県,富山県,,2,決算収支の状況,2,令和4年度,643086782,614212503,28874279,27708584,1165695,-22788,175440,1797351,0,1950003
2023,62,170003,石川県,石川県,,2,決算収支の状況,2,令和4年度,649453271,623877954,25575317,23709957,1865360,42897,130,3000000,0,3043027
2023,62,180009,福井県,福井県,,2,決算収支の状況,2,令和4年度,554078342,535947139,18131203,8972504,9158699,2170982,900161,0,0,3071143
2023,62,190004,山梨県,山梨県,,2,決算収支の状況,2,令和4年度,613385091,583045839,30339252,20214058,10125194,6778723,2746,0,0,6781469
2023,62,200000,長野県,長野県,,2,決算収支の状況,2,令和4年度,1180398469,1156362770,24035699,14038469,9997230,5224862,388,0,2400000,2825250
2023,62,210005,岐阜県,岐阜県,,2,決算収支の状況,2,令和4年度,981072160,961418272,19653888,9949810,9704078,372376,6163577,1000000,10909942,-3373989
2023,62,220001,静岡県,静岡県,,2,決算収支の状況,2,令和4年度,1384631998,1359231789,25400209,9506791,15893418,9133549,1391,0,3200000,5934940
2023,62,230006,愛知県,愛知県,,2,決算収支の状況,2,令和4年度,2924785931,2849306635,75479296,10363081,65116215,-10986806,37023451,0,0,26036645
2023,62,240001,三重県,三重県,,2,決算収支の状況,2,令和4年度,867829220,829846648,37982572,19206098,18776474,-1322494,8376062,0,3209689,3843879
2023,62,250007,滋賀県,滋賀県,,2,決算収支の状況,2,令和4年度,683731180,678985794,4745386,3695786,1049600,-7033,462462,5449822,3770209,2135042
2023,62,260002,京都府,京都府,,2,決算収支の状況,2,令和4年度,1172280594,1155652494,16628100,4531825,12096275,1681954,8207161,0,8207160,1681955
2023,62,270008,大阪府,大阪府,,2,決算収支の状況,2,令和4年度,3942613114,3895343951,47269163,23861030,23408133,-7881152,39892016,0,88001410,-55990546
2023,62,280003,兵庫県,兵庫県,,2,決算収支の状況,2,令和4年度,2683182088,2648172795,35009293,11036482,23972811,2114535,17873178,0,14456705,5531008
2023,62,290009,奈良県,奈良県,,2,決算収支の状況,2,令和4年度,603570473,594644618,8925855,6120011,2805844,1456251,691777,9282940,0,11430968
2023,62,300004,和歌山県,和歌山県,,2,決算収支の状況,2,令和4年度,662895167,637231552,25663615,7538207,18125408,6735166,1527224,0,0,8262390
2023,62,310000,鳥取県,鳥取県,,2,決算収支の状況,2,令和4年度,405728488,383422974,22305514,8082262,14223252,6099796,77,0,0,6099873
2023,62,320005,島根県,島根県,,2,決算収支の状況,2,令和4年度,599893659,563955467,35938192,15202763,20735429,6240503,1085801,11675945,0,19002249
2023,62,330001,岡山県,岡山県,,2,決算収支の状況,2,令和4年度,802008865,788998145,13010720,7677036,5333684,-6353547,13627741,0,17522011,-10247817
2023,62,340006,広島県,広島県,,2,決算収支の状況,2,令和4年度,1221698617,1193714538,27984079,18402535,9581544,-4288950,6902529,0,8609763,-5996184
2023,62,350001,山口県,山口県,,2,決算収支の状況,2,令和4年度,776771731,747765426,29006305,8268598,20737707,-6697300,18679401,0,11100000,882101
2023,62,360007,徳島県,徳島県,,2,決算収支の状況,2,令和4年度,563618625,535631500,27987125,16437585,11549540,-4259922,10001288,0,5000000,741366
2023,62,370002,香川県,香川県,,2,決算収支の状況,2,令和4年度,515593484,501282880,14310604,7772631,6537973,-396235,3391129,0,3187002,-192108
2023,62,380008,愛媛県,愛媛県,,2,決算収支の状況,2,令和4年度,734178021,707431134,26746887,20884756,5862131,3284008,4373813,0,0,7657821
2023,62,390003,高知県,高知県,,2,決算収支の状況,2,令和4年度,496689021,483483446,13205575,9531650,3673925,1679669,4521,0,0,1684190
2023,62,400009,福岡県,福岡県,,2,決算収支の状況,2,令和4年度,2277786328,2203057341,74728987,44532388,30196599,8922131,11283,0,0,8933414
2023,62,410004,佐賀県,佐賀県,,2,決算収支の状況,2,令和4年度,613699133,595781190,17917943,6837437,11080506,9681594,3262792,31939,4000000,8976325
2023,62,420000,長崎県,長崎県,,2,決算収支の状況,2,令和4年度,802100998,786301848,15799150,14496325,1302825,544642,381777,0,4000000,-3073581
2023,62,430005,熊本県,熊本県,,2,決算収支の状況,2,令和4年度,1028620307,978345151,50275156,25647460,24627696,4027654,7489,0,0,4035143
2023,62,440001,大分県,大分県,,2,決算収支の状況,2,令和4年度,736303105,699396596,36906509,27979626,8926883,3880429,2033864,0,1122324,4791969
2023,62,450006,宮崎県,宮崎県,,2,決算収支の状況,2,令和4年度,722275169,690519290,31755879,17151854,14604025,9307821,428,0,3000000,6308249
2023,62,460001,鹿児島県,鹿児島県,,2,決算収支の状況,2,令和4年度,975815228,921475579,54339649,33252489,21087160,5327623,9271800,0,9269857,5329566
2023,62,470007,沖縄県,沖縄県,,2,決算収支の状況,2,令和4年度,932266646,912192057,20074589,14457085,5617504,1337102,14142467,0,18293630,-2814061
2023,62,合計(全国),,,,2,決算収支の状況,2,令和4年度,63735721649,61739543602,1996178047,994880518,1001297529,82311995,597616376,62566216,659834225,82660362
