決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2024,62,200000,長野県,長野県,,02,決算収支の状況,02,令和5年度,1098347683,1079564340,18783343,10404222,8379121,-1618109,460,0,4600000,-6217649
2024,62,210005,岐阜県,岐阜県,,02,決算収支の状況,02,令和5年度,876508334,859178419,17329915,10040234,7289681,-2414397,3146369,13268,0,745240
2024,62,220001,静岡県,静岡県,,02,決算収支の状況,02,令和5年度,1269197338,1250356192,18841146,11501907,7339239,-8554179,2735,0,0,-8551444
2024,62,230006,愛知県,愛知県,,02,決算収支の状況,02,令和5年度,2620933437,2547795499,73137938,15475281,57662657,-7453558,98967,0,30400000,-37754591
2024,62,240001,三重県,三重県,,02,決算収支の状況,02,令和5年度,807571927,764500853,43071074,31892317,11178757,-7597717,9973163,0,21284752,-18909306
2024,62,250007,滋賀県,滋賀県,,02,決算収支の状況,02,令和5年度,620385624,611976612,8409012,7318187,1090825,41225,3064209,6587,0,3112021
2024,62,260002,京都府,京都府,,02,決算収支の状況,02,令和5年度,1042685775,1024886167,17799608,4616522,13183086,1086811,6048138,0,5548137,1586812
2024,62,270008,大阪府,大阪府,,02,決算収支の状況,02,令和5年度,3358436064,3325569052,32867012,17335515,15531497,-7876636,37992842,0,45354763,-15238557
2024,62,280003,兵庫県,兵庫県,,02,決算収支の状況,02,令和5年度,2444905048,2417645312,27259736,13109161,14150575,-9822236,22799115,0,5106000,7870879
2024,62,290009,奈良県,奈良県,,02,決算収支の状況,02,令和5年度,546695998,536284251,10411747,5540354,4871393,2065549,1453774,9093000,0,12612323
2024,62,300004,和歌山県,和歌山県,,02,決算収支の状況,02,令和5年度,636274296,608065885,28208411,9691625,18516786,391378,6520218,0,1521652,5389944
2024,62,310000,鳥取県,鳥取県,,02,決算収支の状況,02,令和5年度,389626524,370967375,18659149,9255002,9404147,-4819105,187,2100000,0,-2718918
2024,62,320005,島根県,島根県,,02,決算収支の状況,02,令和5年度,561454234,528059488,33394746,15875164,17519582,-3215847,71025,5387848,0,2243026
2024,62,330001,岡山県,岡山県,,02,決算収支の状況,02,令和5年度,730821476,721336380,9485096,7280937,2204159,-3129525,4381627,0,10607371,-9355269
2024,62,340006,広島県,広島県,,02,決算収支の状況,02,令和5年度,1124841043,1102901381,21939662,16472300,5467362,-4114182,4804130,0,0,689948
2024,62,350001,山口県,山口県,,02,決算収支の状況,02,令和5年度,712962097,678580641,34381456,10641461,23739995,3002288,12549550,0,17800000,-2248162
2024,62,360007,徳島県,徳島県,,02,決算収支の状況,02,令和5年度,531810865,500502981,31307884,16298197,15009687,3460147,5801381,0,6500000,2761528
2024,62,370002,香川県,香川県,,02,決算収支の状況,02,令和5年度,477854963,462664477,15190486,8083798,7106688,568715,3190161,0,3561321,197555
2024,62,380008,愛媛県,愛媛県,,02,決算収支の状況,02,令和5年度,765414818,740769253,24645565,19398473,5247092,-615039,2916707,0,5851055,-3549387
2024,62,390003,高知県,高知県,,02,決算収支の状況,02,令和5年度,483884519,473554741,10329778,7605855,2723923,-950002,6227,0,0,-943775
2024,62,400009,福岡県,福岡県,,02,決算収支の状況,02,令和5年度,2054311220,1993404740,60906480,49069177,11837303,-18359296,13696,0,13374161,-31719761
2024,62,410004,佐賀県,佐賀県,,02,決算収支の状況,02,令和5年度,555571022,539531062,16039960,6400755,9639205,-1441301,5493451,24166,5700000,-1623684
2024,62,420000,長崎県,長崎県,,02,決算収支の状況,02,令和5年度,747602171,731783777,15818394,14742522,1075872,-226953,653000,0,4000000,-3573953
2024,62,430005,熊本県,熊本県,,02,決算収支の状況,02,令和5年度,954296621,903825031,50471590,19548599,30922991,6295295,7241,0,0,6302536
2024,62,440001,大分県,大分県,,02,決算収支の状況,02,令和5年度,710291970,676738407,33553563,25397199,8156364,-770519,3937084,0,0,3166565
2024,62,450006,宮崎県,宮崎県,,02,決算収支の状況,02,令和5年度,685628744,656385854,29242890,15645638,13597252,-1006773,3000392,0,1000000,993619
2024,62,460001,鹿児島県,鹿児島県,,02,決算収支の状況,02,令和5年度,901447777,856075115,45372662,28978216,16394446,-4692714,11052336,500,11042273,-4682151
2024,62,470007,沖縄県,沖縄県,,02,決算収支の状況,02,令和5年度,862154876,846256545,15898331,11459963,4438368,-1179138,3220932,0,3658458,-1616664
2024,62,合計(全国),,,,02,決算収支の状況,02,令和5年度,58489021585,56647302980,1841718605,988209555,853509050,-147788481,402345822,52893767,406195853,-98744745
